Question;Response;START_DATE;END_DATE
How much natural gas did my Amsterdam, Netherlands site use during the previous two quarters?;01/04/2024, 30/09/2024;01/04/2024;30/09/2024
What are my top 5 accounts in terms of waste generated?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you show a month-over-month comparison of energy consumption for all sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How much natural gas did my Los Angeles, CA site use in the previous year?;01/11/2022, 31/10/2023;01/11/2022;31/10/2023
How much natural gas was consumed by my Seattle, WA site in the last month?;30/09/2024, 30/10/2024;30/09/2024;30/10/2024
What are the five sites with the lowest water consumption?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which are the five accounts with the highest electricity cost per unit?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which sites reported a decrease in energy consumption year-over-year?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my top 5 divisions in terms of waste reduction?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you identify the sites with a significant increase in energy consumption compared to the previous year?;01/10/2023, 30/10/2024;01/10/2023;30/10/2024
How much natural gas did my Madrid, Spain site consume during the last two months?;29/08/2024, 30/10/2024;29/08/2024;30/10/2024
Which sites have managed to reduce their energy consumption compared to the same period last year?;01/10/2023, 30/09/2024;01/10/2023;30/09/2024
What division has the highest overall energy cost?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the natural gas usage for my Sydney, Australia site during the last six months?;30/04/2024, 30/10/2024;30/04/2024;30/10/2024
Can you identify locations that have improved their energy efficiency in the past year?;01/11/2023, 30/10/2024;01/11/2023;30/10/2024
Which sites experienced a year-over-year decrease in waste generation?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the natural gas usage for my Rome, Italy site during the last three months?;22/07/2024, 30/10/2024;22/07/2024;30/10/2024
Can you list the five locations with the highest heating cost per unit?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How much natural gas did my Toronto, Canada site use during the last billing period?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you identify the sites that have increased their energy efficiency in the past month?;30/09/2024, 30/10/2024;30/09/2024;30/10/2024
Can you list the five divisions with the lowest electricity cost per unit?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which sites have the highest potential for reducing tCO2e emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What was the natural gas usage for my London, UK site during the last quarter?;01/07/2024, 30/09/2024;01/07/2024;30/09/2024
Can you list the five locations with the highest natural gas cost per unit?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which divisions contribute the most to our overall tCO2e emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which sites have managed to reduce their water consumption compared to the same period last year?;01/11/2022, 31/10/2023;01/11/2022;31/10/2023
Which locations have the lowest tCO2e emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my top 5 accounts in terms of water consumption reduction?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which sites experienced a decrease in consumption compared to the previous month?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How much natural gas did my Warsaw, Poland site use during the last two weeks?;"Here is the answer:

16/10/2024, 30/10/2024";16/10/2024;30/10/2024
How much natural gas did my New York, NY site consume last week?;23/10/2024, 29/10/2024;23/10/2024;29/10/2024
What are my best-performing sites in terms of tCO2e emissions reduction?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the top 10 accounts with the largest carbon footprint?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you list my top 6 sites in terms of renewable energy usage?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you show a year-over-year comparison of energy consumption for all sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which division has the highest tCO2e emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Which locations have the highest tCO2e emissions per square meter?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the five sites with the highest cooling cost per unit?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the seven sites with the highest water cost per unit?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the main sources of greenhouse gas (GHG) emissions in my data?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are the main sources of greenhouse gas (GHG) emissions at each of my company sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What is the breakdown of emissions by sector (e.g., transportation, industry, agriculture)?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How have my emissions changed over time?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How have my emissions changed annually?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How have my emissions changed quarterly?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How have my emissions changed monthly?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my emissions today?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my top divisions with highest emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What is my top site with lowest emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How do my emissions vary by fuel type (e.g., natural gas, coal, oil, renewable energy)?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What percentage of my emissions come from direct sources (Scope 1)?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How much do indirect sources (Scope 2 and 3) contribute to my emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How my carbon footprint decreased in the last five years?;19/10/2019, 30/10/2024;19/10/2019;30/10/2024
What are my emissions from manufacturing?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my emissions from office activity?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Quantify my emissions for my Southeast Asia sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my emissions for my sites in Europe?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Show me emissions data for my North American sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my emissions at my site in North Dakota?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Breakdown my emissions data by aircraft, fleet, and route.;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
How much natural gas did my site using during the previous two quarters?;01/04/2024, 30/09/2024;01/04/2024;30/09/2024
How much water did my site using during Q4?;01/10/2023, 31/12/2023;01/10/2023;31/12/2023
How much electricity did my site use the last 6 months?;30/04/2024, 30/10/2024;30/04/2024;30/10/2024
What are my top 3 divisions in terms of electric power usage?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What are my top 5 divisions in terms of emissions?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
What is my top account in terms of natural gas usage?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
Can you show a MoM comparison of natural gas consumption for my Southeast Asia sites?;NO_TIME_RANGE, NO_TIME_RANGE;NO_TIME_RANGE;NO_TIME_RANGE
